networkType,batteryLevel,isCharging,updateSizeMb,usageFrequency,isCriticalUpdate,shouldUpdate
1,0.633,1,169.07,0.374,1,1
2,0.775,0,667.22,0.438,1,1
2,0.592,0,148.53,0.686,0,1
2,0.121,0,108.79,0.83,0,0
1,0.79,0,230.59,0.237,1,0
1,0.413,0,73.56,0.184,0,0
2,0.779,1,105.72,0.8,0,1
2,0.691,0,168.05,0.535,0,1
2,0.1,0,548.21,0.933,0,0
2,0.713,1,502.65,0.508,1,1
2,0.543,0,341.43,0.92,0,1
2,0.757,0,502.84,0.768,0,1
2,0.686,0,321.64,0.212,0,1
1,0.339,0,50.02,0.328,0,0
1,0.498,0,252.44,0.676,0,0
1,0.706,0,108.44,0.42,0,0
2,0.917,1,126.36,0.512,0,1
1,0.715,0,63.35,0.802,0,1
1,0.363,0,125.24,0.404,0,0
2,0.4,1,344.38,0.924,1,1
2,0.68,0,322.71,0.298,0,1
0,0.56,1,12.98,0.503,0,0
1,0.421,0,198.06,0.512,0,0
1,0.578,1,198.36,0.704,1,1
0,0.717,0,673.07,0.399,0,0
1,0.879,1,128.25,0.735,0,1
2,0.429,0,392.9,0.919,0,1
2,0.954,0,198.32,0.232,0,0
1,0.359,0,141.8,0.042,0,0
1,0.316,0,151.68,0.646,0,0
1,0.222,0,126.6,0.806,0,0
2,0.612,0,548.25,0.373,0,0
2,0.774,1,528.81,0.34,0,1
2,0.246,0,668.32,0.408,1,1
2,0.183,0,78.03,0.931,0,0
2,0.655,0,319.65,0.269,0,1
2,0.631,1,125.16,0.652,1,1
1,0.387,0,155.02,0.18,0,0
1,0.778,0,330.33,0.44,0,0
2,0.479,0,107.55,0.312,0,1
2,0.531,1,410.94,0.602,0,1
0,0.313,0,588.08,0.894,0,0
2,0.21,0,124.15,0.114,1,1
2,0.766,0,836.17,0.789,0,0
1,0.766,0,189.09,0.506,1,0
2,0.139,1,600.6,0.343,1,1
2,0.69,0,402.98,0.979,0,1
2,0.904,0,279.87,0.241,0,1
2,0.099,0,590.2,0.519,1,1
2,0.467,1,181.41,0.992,0,1
2,0.037,0,134.06,0.216,0,0
2,0.573,0,414.23,0.363,0,1
2,0.146,0,742.58,0.508,0,0
2,0.455,0,329.77,0.628,1,1
2,0.24,1,805.96,0.234,0,1
0,0.793,0,440.37,0.462,0,0
2,0.347,0,565.98,0.884,0,0
1,0.882,1,81.38,0.863,0,1
2,0.19,0,243.16,0.572,0,0
2,0.81,0,303.21,0.373,0,1
1,0.653,0,176.95,0.728,1,0
2,0.507,0,315.53,0.526,1,1
0,0.618,0,42.87,0.105,1,0
1,0.678,0,413.4,0.414,0,0
1,0.626,0,79.27,0.286,1,1
1,0.665,1,247.95,0.15,0,0
2,0.699,1,188.81,0.234,0,1
1,0.571,1,30.32,0.152,1,1
1,0.379,1,143.92,0.197,0,0
2,0.287,0,349.59,0.328,1,1
2,0.789,0,657.35,0.716,0,0
2,0.201,1,767.55,0.292,1,1
2,0.181,0,375.84,0.587,0,0
1,0.552,0,95.37,0.173,0,0
2,0.54,1,525.37,0.163,0,1
2,0.244,1,714.18,0.019,0,0
2,0.485,0,621.93,0.119,0,0
1,0.282,1,344.45,0.451,0,0
2,0.9,0,222.24,0.145,1,1
2,0.93,0,627.36,0.421,0,0
2,0.37,0,243.52,0.334,0,0
1,0.494,0,60.94,0.55,0,0
1,0.153,0,189.99,0.498,0,0
2,0.154,1,533.19,0.849,0,1
2,0.548,0,565.56,0.382,0,0
2,0.718,0,271.66,0.122,1,1
1,0.526,0,171.65,0.703,0,0
0,0.878,0,196.96,0.794,0,0
2,0.716,1,482.07,0.433,0,1
2,0.521,1,188.64,0.323,1,1
2,0.704,0,237.86,0.134,0,1
1,0.32,0,108.61,0.245,0,0
2,0.53,0,276.7,0.575,0,1
1,0.199,0,228.14,0.415,0,0
2,0.627,0,436.05,0.688,0,1
2,0.547,1,648.95,0.338,1,1
1,0.15,0,240.91,0.466,0,0
1,0.541,1,74.59,0.236,0,1
2,0.634,0,26.13,0.577,0,1
1,0.667,0,39.56,0.851,1,1
2,0.494,0,255.3,0.681,0,1
2,0.541,0,476.56,0.631,0,0
1,0.445,0,191.97,0.34,0,0
2,0.69,0,464.54,0.489,0,0
2,0.498,0,169.1,0.011,0,1
2,0.441,0,298.99,0.627,0,1
2,0.703,0,152.15,0.315,0,1
1,0.644,1,295.21,0.843,0,0
1,0.299,0,139.46,0.278,1,0
2,0.724,0,453.69,0.56,1,1
1,0.838,0,129.71,0.348,1,0
2,0.142,0,314.55,0.743,0,0
1,0.56,0,69.41,0.791,0,0
1,0.72,0,237.6,0.134,0,0
2,0.774,1,209.07,0.876,0,1
2,0.49,0,294.95,0.897,1,1
2,0.612,0,318.7,0.516,1,1
2,0.561,1,499.73,0.62,0,1
1,0.526,0,90.76,0.667,1,1
2,0.661,0,308.09,0.586,1,1
2,0.963,0,165.52,0.149,0,1
0,0.518,0,167.08,0.801,1,0
2,0.729,1,604.07,0.61,0,1
2,0.805,1,159.61,0.313,0,1
2,0.282,0,224.19,0.088,0,0
1,0.844,0,177.96,0.767,0,0
1,0.362,1,437.12,0.043,0,0
2,0.296,0,343.23,0.169,0,0
1,0.773,0,18.0,0.066,0,1
2,0.475,1,486.89,0.319,0,1
2,0.734,0,281.71,0.053,0,1
2,0.915,0,261.37,0.575,0,1
2,0.441,0,715.41,0.458,1,1
2,0.495,0,566.2,0.129,1,1
2,0.661,0,469.86,0.758,0,1
2,0.376,0,358.77,0.571,0,1
2,0.389,0,154.52,0.533,1,1
0,0.545,0,413.44,0.532,0,0
2,0.698,0,320.64,0.371,0,1
2,0.262,1,309.87,0.396,0,1
1,0.882,0,250.82,0.471,0,0
2,0.801,0,239.46,0.472,0,1
2,0.46,0,179.63,0.725,0,1
2,0.508,0,87.54,0.281,0,1
1,0.475,0,292.53,0.441,0,0
1,0.69,0,151.29,0.237,0,0
2,0.571,1,636.43,0.672,0,1
1,0.779,1,276.45,0.366,0,0
2,0.196,0,32.04,0.705,0,0
1,0.362,0,287.13,0.438,0,0
2,0.586,0,449.73,0.287,0,1
2,0.599,0,93.65,0.766,1,1
2,0.582,0,419.02,0.086,0,1
1,0.415,1,53.01,0.067,0,1
1,0.747,0,54.42,0.174,1,1
2,0.62,1,738.34,0.402,0,0
2,0.918,0,112.62,0.885,0,1
2,0.306,0,165.41,0.817,0,1
1,0.197,0,277.72,0.524,0,0
2,0.377,1,306.92,0.581,0,1
2,0.946,0,225.59,0.531,0,1
1,0.418,1,111.44,0.217,0,1
1,0.759,0,298.19,0.242,0,0
2,0.362,0,290.96,0.336,0,0
1,0.889,0,84.07,0.581,0,0
1,0.691,1,127.35,0.796,0,1
1,0.659,0,205.77,0.898,0,0
2,0.638,0,194.81,0.381,0,1
2,0.161,0,199.59,0.321,0,0
2,0.496,0,342.88,0.777,0,0
2,0.198,0,35.98,0.521,0,0
1,0.744,0,100.78,0.452,0,0
2,0.719,0,392.31,0.765,0,1
1,0.808,0,128.62,0.157,0,0
0,0.289,1,86.25,0.703,0,0
2,0.745,0,694.59,0.408,1,1
1,0.386,0,69.68,0.109,0,0
1,0.066,0,49.54,0.752,0,0
2,0.395,0,638.61,0.614,0,0
1,0.44,0,53.11,0.368,0,0
1,0.869,0,189.15,0.41,0,0
2,0.669,0,607.94,0.608,1,1
2,0.732,0,683.08,0.248,0,0
2,0.299,0,334.79,0.544,0,0
2,0.368,0,156.62,0.679,0,1
1,0.522,0,197.42,0.339,1,0
2,0.23,0,351.42,0.617,0,0
1,0.343,1,83.66,0.688,0,0
2,0.893,0,548.87,0.333,0,0
1,0.414,0,95.89,0.147,0,0
1,0.707,0,45.09,0.416,0,1
2,0.741,1,187.11,0.212,0,1
2,0.407,0,808.75,0.601,0,0
1,0.844,1,334.15,0.66,0,0
1,0.783,0,204.38,0.121,0,0
0,0.244,1,14.34,0.408,0,0
2,0.923,0,229.67,0.514,0,1
2,0.471,1,546.68,0.141,1,1
1,0.415,0,100.99,0.21,0,0
2,0.861,1,140.44,0.479,0,1
2,0.539,1,687.85,0.658,0,1
1,0.748,0,244.35,0.402,0,0
2,0.788,0,198.36,0.804,1,1
2,0.622,0,477.56,0.336,0,0
2,0.737,0,847.02,0.339,0,0
0,0.557,0,296.3,0.551,1,0
2,0.558,0,155.93,0.745,0,1
2,0.896,0,244.61,0.298,1,1
1,0.665,0,334.19,0.293,0,0
2,0.489,0,295.84,0.058,0,1
0,0.575,0,577.85,0.039,1,0
2,0.387,0,443.93,0.767,0,1
1,0.511,0,193.06,0.234,0,0
2,0.458,1,309.97,0.547,0,1
1,0.293,0,85.42,0.933,0,0
2,0.664,1,216.82,0.962,0,1
2,0.22,0,662.25,0.713,1,1
1,0.56,0,259.91,0.569,0,0
1,0.121,0,142.32,0.374,0,1
2,0.578,0,214.13,0.094,0,0
2,0.535,0,605.99,0.621,0,0
2,0.503,0,79.62,0.623,0,1
1,0.473,0,77.72,0.759,0,1
2,0.784,0,287.53,0.14,0,1
1,0.355,0,120.4,0.62,1,0
2,0.329,1,299.62,0.196,0,1
2,0.214,0,504.44,0.835,0,0
2,0.764,0,347.92,0.322,0,1
2,0.75,0,311.66,0.512,0,1
0,0.155,0,462.46,0.05,0,1
1,0.386,0,241.64,0.66,0,0
0,0.736,1,165.43,0.733,0,0
2,0.608,1,144.75,0.056,1,1
2,0.31,0,156.35,0.524,0,1
2,0.522,1,360.39,0.741,1,1
2,0.548,1,103.27,0.694,0,1
2,0.401,1,531.15,0.914,0,1
2,0.825,0,583.51,0.476,0,0
1,0.631,0,249.58,0.808,1,0
2,0.314,1,235.48,0.838,0,1
2,0.752,0,140.44,0.708,0,1
1,0.559,0,127.35,0.588,1,1
1,0.455,0,31.57,0.117,1,1
2,0.574,1,359.1,0.642,0,1
1,0.33,0,55.01,0.774,1,1
2,0.476,0,139.82,0.879,0,1
2,0.471,1,364.46,0.501,1,1
2,0.582,1,242.54,0.526,0,1
2,0.135,0,73.58,0.286,0,0
1,0.835,1,207.92,0.452,0,1
2,0.645,1,426.38,0.406,0,1
2,0.883,0,152.93,0.051,0,1
2,0.138,1,790.43,0.836,0,0
2,0.721,1,351.26,0.209,0,0
2,0.125,1,168.39,0.636,0,1
1,0.469,0,14.42,0.283,0,1
2,0.29,0,529.68,0.629,0,0
2,0.532,1,77.17,0.838,0,1
2,0.763,0,225.72,0.323,0,1
1,0.347,1,91.1,0.604,1,1
1,0.399,0,214.67,0.145,0,0
2,0.926,0,302.58,0.297,0,1
2,0.163,0,307.75,0.145,0,0
2,0.733,1,98.31,0.154,0,1
2,0.315,0,154.29,0.383,1,1
1,0.488,0,268.83,0.44,0,0
1,0.801,0,187.1,0.175,0,0
0,0.363,0,193.88,0.541,1,0
1,0.375,0,336.08,0.223,0,0
1,0.715,1,83.36,0.764,0,1
2,0.546,0,183.17,0.282,0,1
0,0.527,0,211.79,0.512,0,0
2,0.471,1,785.9,0.493,0,0
2,0.636,0,112.3,0.1,1,1
0,0.46,0,136.92,0.448,1,0
1,0.76,0,460.61,0.75,0,0
1,0.156,0,408.55,0.479,0,0
1,0.324,1,313.81,0.372,0,0
2,0.664,0,314.68,0.853,1,1
2,0.608,0,326.69,0.653,0,1
1,0.597,0,384.47,0.719,0,0
2,0.828,1,114.3,0.951,0,1
1,0.546,0,312.03,0.469,0,0
0,0.745,0,572.11,0.821,0,0
2,0.509,0,127.21,0.224,0,1
1,0.234,1,130.3,0.14,0,0
2,0.229,1,341.35,0.181,0,1
2,0.422,0,123.95,0.098,0,1
1,0.24,1,158.63,0.853,0,0
1,0.203,0,145.57,0.192,0,0
1,0.836,1,111.15,0.766,0,1
2,0.614,1,121.3,0.243,0,1
0,0.711,0,435.75,0.563,0,0
2,0.919,1,255.34,0.382,0,1
1,0.862,0,66.67,0.482,0,0
2,0.584,0,62.4,0.152,0,1
1,0.345,0,102.9,0.707,0,0
2,0.665,1,252.27,0.303,0,1
1,0.649,1,288.79,0.53,0,0
1,0.263,0,293.05,0.366,0,0
2,0.95,1,365.85,0.165,1,1
2,0.666,0,245.3,0.149,0,1
2,0.263,0,191.95,0.824,0,0
2,0.796,0,536.04,0.321,0,1
2,0.095,0,244.86,0.825,0,0
2,0.907,0,370.6,0.598,0,1
2,0.461,0,714.04,0.255,1,1
1,0.956,0,317.73,0.469,0,0
1,0.817,0,432.09,0.518,1,0
2,0.949,1,699.7,0.229,1,1
2,0.738,1,479.53,0.844,0,1
1,0.615,0,181.63,0.556,0,0
2,0.209,0,271.69,0.432,1,1
2,0.909,0,264.51,0.777,1,1
2,0.543,0,460.53,0.265,1,1
2,0.475,0,208.2,0.221,0,1
1,0.519,1,105.18,0.118,1,1
2,0.533,0,753.25,0.685,1,1
1,0.711,0,72.0,0.629,0,0
2,0.789,0,839.46,0.905,0,0
2,0.605,0,315.32,0.913,1,1
1,0.503,0,200.08,0.257,1,1
2,0.595,1,144.52,0.107,1,1
0,0.593,0,50.44,0.762,0,0
1,0.885,0,298.54,0.65,1,0
2,0.41,0,282.3,0.54,0,1
1,0.532,0,360.55,0.754,1,0
1,0.22,0,199.27,0.684,0,0
1,0.706,0,205.87,0.375,1,0
1,0.296,0,187.61,0.162,1,0
2,0.694,1,261.31,0.885,1,1
2,0.554,0,213.45,0.908,0,1
2,0.481,0,565.28,0.41,0,0
2,0.472,1,312.39,0.681,0,1
2,0.669,0,180.45,0.381,1,1
1,0.327,1,295.14,0.843,0,0
1,0.656,0,92.95,0.634,0,0
1,0.499,1,108.18,0.22,0,1
2,0.802,0,516.75,0.705,0,1
1,0.841,0,150.08,0.572,0,0
1,0.827,0,148.15,0.889,0,1
2,0.646,0,408.33,0.468,0,1
2,0.416,0,203.14,0.37,0,1
2,0.323,0,164.32,0.721,0,1
1,0.124,1,260.59,0.095,0,0
1,0.463,1,451.99,0.445,0,0
1,0.612,0,102.91,0.709,1,1
0,0.505,0,276.95,0.365,1,0
2,0.584,1,126.75,0.162,0,1
2,0.455,0,249.01,0.743,0,1
2,0.384,0,604.42,0.388,0,0
2,0.604,0,290.52,0.752,0,1
2,0.724,1,362.8,0.668,0,1
2,0.548,0,636.3,0.123,0,0
2,0.535,1,221.58,0.656,0,1
1,0.678,0,33.73,0.19,0,1
2,0.173,0,491.4,0.801,0,0
2,0.544,0,187.14,0.65,0,1
1,0.99,1,114.05,0.628,0,1
2,0.167,0,129.35,0.337,0,0
1,0.779,0,102.46,0.924,0,0
2,0.372,0,521.31,0.929,0,0
1,0.796,1,248.02,0.065,0,0
2,0.619,0,203.62,0.28,0,1
2,0.73,0,332.93,0.479,0,1
2,0.724,1,176.92,0.361,0,1
2,0.446,0,218.32,0.584,0,1
1,0.581,0,126.28,0.512,0,0
2,0.393,0,213.72,0.452,0,1
1,0.635,0,140.67,0.632,1,0
2,0.761,0,523.19,0.2,0,0
2,0.783,0,735.24,0.862,0,0
0,0.893,1,601.23,0.65,0,0
2,0.598,0,742.19,0.789,0,0
1,0.566,1,125.7,0.332,0,1
1,0.831,0,345.01,0.606,0,0
2,0.171,0,692.45,0.175,1,1
2,0.95,1,528.13,0.332,1,1
0,0.591,0,38.23,0.433,1,0
1,0.857,1,227.26,0.514,0,0
2,0.608,0,71.02,0.404,0,1
1,0.857,0,204.72,0.509,0,0
1,0.663,0,58.0,0.774,0,1
2,0.519,1,491.4,0.976,1,1
2,0.4,0,498.71,0.391,0,0
2,0.714,0,160.0,0.834,0,1
2,0.884,1,232.82,0.493,0,1
0,0.877,0,441.26,0.271,0,0
2,0.318,1,112.76,0.666,0,1
0,0.38,1,288.19,0.216,0,0
2,0.34,0,383.09,0.552,0,1
2,0.371,1,294.54,0.744,0,1
1,0.738,0,393.31,0.448,0,0
2,0.676,0,843.8,0.704,0,0
0,0.72,1,278.28,0.914,0,0
1,0.916,0,142.7,0.099,0,0
0,0.52,1,449.07,0.701,0,1
2,0.762,0,275.56,0.447,0,1
1,0.655,0,87.87,0.469,0,0
1,0.832,0,136.34,0.216,1,0
2,0.288,1,433.98,0.478,0,1
2,0.323,0,479.63,0.923,0,0
1,0.142,1,124.91,0.19,1,0
1,0.201,0,360.11,0.473,0,0
1,0.724,0,91.61,0.067,0,0
2,0.615,0,205.85,0.607,0,1
1,0.336,1,305.56,0.245,0,0
2,0.436,0,99.17,0.448,0,1
2,0.623,0,373.14,0.382,0,1
2,0.679,1,414.84,0.612,0,1
2,0.588,1,41.65,0.63,0,1
2,0.341,0,270.14,0.081,0,1
2,0.369,0,475.74,0.156,0,0
2,0.118,1,268.64,0.702,0,1
2,0.487,0,332.49,0.05,0,1
2,0.642,0,241.06,0.395,0,1
1,0.733,1,136.18,0.581,0,1
2,0.507,0,388.91,0.244,0,1
2,0.421,0,609.44,0.543,0,0
2,0.673,0,681.15,0.299,0,0
2,0.595,0,463.52,0.563,1,1
1,0.632,1,268.65,0.071,0,1
0,0.651,1,364.31,0.62,0,0
2,0.768,0,424.99,0.65,1,1
2,0.425,1,251.73,0.657,1,1
2,0.527,0,447.54,0.324,0,1
2,0.777,0,447.23,0.541,0,0
2,0.339,0,768.0,0.465,0,0
2,0.559,1,528.51,0.732,0,1
1,0.538,0,200.72,0.337,0,0
1,0.198,1,172.61,0.354,0,0
2,0.57,0,132.36,0.244,0,1
2,0.522,0,213.29,0.72,0,1
2,0.666,1,182.79,0.111,0,1
1,0.674,0,357.91,0.589,0,0
0,0.558,0,460.47,0.764,1,0
0,0.837,0,47.11,0.685,1,0
0,0.559,1,123.84,0.406,0,0
2,0.67,1,338.07,0.564,0,1
1,0.19,1,103.3,0.769,0,0
1,0.231,0,327.44,0.729,1,0
0,0.689,1,297.36,0.504,1,0
2,0.36,1,186.15,0.413,0,1
2,0.459,0,659.26,0.437,0,0
2,0.401,0,240.92,0.656,0,1
2,0.333,0,177.64,0.46,0,1
2,0.558,0,160.79,0.053,0,1
2,0.684,1,461.12,0.435,0,0
1,0.717,0,429.73,0.771,0,0
1,0.375,1,102.84,0.495,0,0
2,0.665,0,83.62,0.339,0,1
2,0.758,0,273.61,0.378,0,1
2,0.442,0,482.35,0.373,0,0
1,0.499,1,375.05,0.208,1,0
2,0.168,1,585.64,0.705,0,1
2,0.49,0,79.02,0.399,0,1
2,0.504,0,158.28,0.152,0,1
2,0.739,0,152.42,0.489,1,1
1,0.833,0,8.43,0.465,0,1
2,0.612,1,555.45,0.519,0,1
2,0.596,0,349.71,0.16,0,1
2,0.789,0,595.35,0.157,0,0
1,0.66,1,63.86,0.286,0,0
2,0.94,0,139.23,0.257,0,1
2,0.626,0,444.32,0.7,1,1
2,0.327,0,614.36,0.657,0,0
1,0.803,0,240.8,0.335,0,0
2,0.416,0,18.08,0.66,0,1
0,0.723,1,128.13,0.456,0,0
1,0.84,0,187.41,0.582,0,0
2,0.656,1,90.33,0.156,0,1
2,0.792,1,453.23,0.279,0,1
2,0.135,0,157.54,0.529,0,0
2,0.845,0,490.37,0.252,1,1
2,0.849,0,778.0,0.156,0,0
2,0.766,0,558.72,0.176,0,0
2,0.793,1,217.49,0.907,1,1
2,0.939,0,262.97,0.162,0,1
2,0.544,0,143.47,0.787,1,1
2,0.483,0,588.35,0.26,0,0
0,0.327,0,609.45,0.822,1,0
1,0.699,0,167.74,0.235,0,0
0,0.913,1,666.48,0.396,1,0
2,0.772,0,585.24,0.402,0,0
1,0.831,1,372.55,0.25,0,0
1,0.646,0,139.61,0.832,1,0
1,0.892,0,254.41,0.694,0,0
1,0.537,0,286.78,0.439,0,0
2,0.778,0,141.56,0.531,0,1
2,0.246,0,237.01,0.256,0,0
2,0.453,0,154.54,0.377,0,1
2,0.44,1,844.09,0.643,0,0
1,0.899,0,96.43,0.675,0,0
2,0.371,0,250.66,0.123,0,1
2,0.745,1,551.66,0.721,0,1
2,0.895,1,153.59,0.244,0,1
2,0.587,0,112.77,0.384,0,1
0,0.753,0,251.33,0.43,0,0
2,0.811,0,406.22,0.565,0,1
2,0.336,0,314.19,0.726,0,1
0,0.29,1,695.62,0.444,0,0
1,0.735,0,261.13,0.573,0,0
2,0.753,1,624.36,0.287,0,1
2,0.59,1,395.77,0.515,0,1
1,0.138,1,227.27,0.127,0,0
2,0.757,0,227.31,0.537,0,1
1,0.434,0,89.8,0.895,0,1
2,0.197,1,205.37,0.969,0,1
2,0.507,0,219.49,0.428,1,1
1,0.594,0,82.97,0.335,1,1
2,0.716,0,227.54,0.709,0,1
1,0.478,0,159.49,0.169,1,0
2,0.517,0,607.23,0.778,1,1
0,0.601,0,413.78,0.325,0,0
2,0.62,0,603.75,0.287,0,0
1,0.169,1,58.57,0.437,0,0
1,0.674,0,208.32,0.548,0,0
1,0.732,0,255.96,0.267,0,0
2,0.405,0,321.26,0.739,0,1
0,0.37,0,185.42,0.154,0,0
2,0.794,0,478.25,0.462,0,0
2,0.558,0,123.9,0.95,1,1
1,0.388,0,268.54,0.2,1,0
2,0.506,0,625.19,0.842,0,1
2,0.406,0,750.09,0.693,0,1
0,0.815,0,462.52,0.162,0,0
1,0.631,0,95.39,0.254,0,0
1,0.533,0,123.18,0.741,0,0
1,0.558,1,156.47,0.313,0,1
2,0.903,1,275.14,0.776,0,1
2,0.412,0,29.24,0.733,0,1
2,0.594,0,91.29,0.821,0,1
1,0.754,1,16.95,0.408,0,1
2,0.944,0,791.99,0.699,0,0
2,0.726,0,152.27,0.671,0,1
2,0.687,0,294.97,0.657,1,1
0,0.82,0,687.25,0.386,0,0
0,0.492,1,550.9,0.459,1,0
1,0.487,1,184.63,0.16,0,1
1,0.151,1,263.29,0.539,0,0
0,0.431,1,646.56,0.44,0,0
1,0.715,1,299.75,0.203,0,0
2,0.443,0,473.31,0.437,0,0
2,0.352,0,103.31,0.157,0,1
2,0.774,1,101.08,0.601,0,1
2,0.261,1,137.59,0.847,1,1
2,0.133,0,710.25,0.064,0,0
2,0.686,1,479.64,0.336,0,1
1,0.721,0,98.81,0.373,0,0
2,0.294,0,237.82,0.72,0,0
0,0.406,0,640.66,0.415,0,0
2,0.475,0,136.53,0.679,0,1
2,0.763,0,558.64,0.124,1,1
0,0.411,0,379.54,0.332,0,0
2,0.364,0,121.95,0.3,1,1
2,0.797,1,674.62,0.917,0,1
1,0.512,1,213.37,0.29,0,1
2,0.544,0,89.59,0.878,0,1
2,0.561,0,124.82,0.448,0,1
1,0.278,0,56.27,0.632,0,0
2,0.836,1,230.38,0.441,0,1
0,0.979,1,358.05,0.642,0,0
0,0.906,0,352.94,0.588,1,0
0,0.571,1,205.85,0.169,0,0
1,0.489,1,230.45,0.608,1,1
2,0.66,0,206.59,0.406,0,1
2,0.884,1,483.61,0.189,1,1
2,0.827,1,375.17,0.903,0,1
2,0.657,0,158.0,0.747,0,1
2,0.855,0,357.89,0.605,0,1
2,0.331,0,205.57,0.222,0,1
2,0.593,0,570.31,0.792,0,1
0,0.328,0,581.9,0.229,0,0
1,0.829,1,260.96,0.519,0,0
